pid,group,matrix_name,condition,response
40,AI,FAVvsMJP,together,6
40,AI,FAVvsP,together,0
40,AI,MDvsMIP/MJP,opposed,12
40,AI,MDvsMIP/MJP,opposed,12
40,AI,MDvsMIP/MJP,together,12
40,AI,FAVvsP,together,0
40,AI,MDvsMIP/MJP,together,12
40,AI,FAVvsP,opposed,0
40,AI,FAVvsP,opposed,0
40,AI,FAVvsMJP,together,8
40,AI,FAVvsMJP,opposed,7
40,AI,FAVvsMJP,opposed,6
41,AI,MDvsMIP/MJP,opposed,8
41,AI,FAVvsP,together,12
41,AI,FAVvsMJP,opposed,4
41,AI,FAVvsP,opposed,8
41,AI,FAVvsMJP,opposed,9
41,AI,MDvsMIP/MJP,opposed,5
41,AI,FAVvsP,opposed,4
41,AI,FAVvsMJP,together,7
41,AI,MDvsMIP/MJP,together,10
41,AI,MDvsMIP/MJP,together,8
41,AI,FAVvsMJP,together,6
41,AI,FAVvsP,together,1
42,AI,MDvsMIP/MJP,opposed,1
42,AI,FAVvsP,opposed,7
42,AI,MDvsMIP/MJP,opposed,5
42,AI,FAVvsMJP,together,6
42,AI,FAVvsP,opposed,5
42,AI,FAVvsMJP,opposed,4
42,AI,MDvsMIP/MJP,together,5
42,AI,FAVvsP,together,4
42,AI,FAVvsMJP,together,6
42,AI,FAVvsMJP,opposed,8
42,AI,MDvsMIP/MJP,together,6
42,AI,FAVvsP,together,0
43,AI,FAVvsP,together,6
43,AI,FAVvsMJP,opposed,4
43,AI,FAVvsP,opposed,10
43,AI,MDvsMIP/MJP,opposed,9
43,AI,FAVvsMJP,opposed,6
43,AI,FAVvsP,opposed,12
43,AI,FAVvsMJP,together,6
43,AI,MDvsMIP/MJP,together,10
43,AI,MDvsMIP/MJP,together,1
43,AI,FAVvsMJP,together,9
43,AI,FAVvsP,together,6
43,AI,MDvsMIP/MJP,opposed,12
44,AI,MDvsMIP/MJP,opposed,8
44,AI,FAVvsMJP,opposed,5
44,AI,FAVvsP,opposed,9
44,AI,FAVvsP,together,2
44,AI,MDvsMIP/MJP,together,3
44,AI,FAVvsMJP,together,4
44,AI,FAVvsP,opposed,2
44,AI,FAVvsMJP,opposed,12
44,AI,MDvsMIP/MJP,together,5
44,AI,FAVvsP,together,6
44,AI,FAVvsMJP,together,4
44,AI,MDvsMIP/MJP,opposed,6
45,AI,FAVvsMJP,opposed,8
45,AI,FAVvsP,opposed,9
45,AI,FAVvsP,together,0
45,AI,FAVvsP,together,0
45,AI,FAVvsMJP,opposed,7
45,AI,FAVvsP,opposed,1
45,AI,FAVvsMJP,together,1
45,AI,MDvsMIP/MJP,opposed,7
45,AI,MDvsMIP/MJP,together,5
45,AI,MDvsMIP/MJP,together,0
45,AI,FAVvsMJP,together,5
45,AI,MDvsMIP/MJP,opposed,8
46,AI,MDvsMIP/MJP,together,0
46,AI,FAVvsP,opposed,12
46,AI,FAVvsMJP,together,0
46,AI,MDvsMIP/MJP,together,0
46,AI,FAVvsMJP,opposed,12
46,AI,MDvsMIP/MJP,opposed,0
46,AI,MDvsMIP/MJP,opposed,0
46,AI,FAVvsMJP,opposed,12
46,AI,FAVvsP,together,0
46,AI,FAVvsP,together,0
46,AI,FAVvsMJP,together,0
46,AI,FAVvsP,opposed,12
47,AI,FAVvsP,opposed,7
47,AI,FAVvsP,opposed,8
47,AI,FAVvsP,together,0
47,AI,FAVvsMJP,together,5
47,AI,MDvsMIP/MJP,opposed,7
47,AI,MDvsMIP/MJP,together,4
47,AI,MDvsMIP/MJP,together,7
47,AI,FAVvsMJP,together,0
47,AI,MDvsMIP/MJP,opposed,2
47,AI,FAVvsMJP,opposed,6
47,AI,FAVvsMJP,opposed,12
47,AI,FAVvsP,together,0
48,AI,MDvsMIP/MJP,opposed,0
48,AI,FAVvsMJP,opposed,12
48,AI,FAVvsP,together,6
48,AI,MDvsMIP/MJP,opposed,4
48,AI,FAVvsMJP,opposed,0
48,AI,FAVvsMJP,together,12
48,AI,MDvsMIP/MJP,together,0
48,AI,FAVvsP,opposed,12
48,AI,FAVvsP,together,12
48,AI,FAVvsMJP,together,12
48,AI,MDvsMIP/MJP,together,0
48,AI,FAVvsP,opposed,0
49,AI,FAVvsP,opposed,8
49,AI,FAVvsP,together,12
49,AI,FAVvsMJP,together,6
49,AI,MDvsMIP/MJP,opposed,6
49,AI,FAVvsMJP,opposed,6
49,AI,FAVvsP,together,0
49,AI,MDvsMIP/MJP,together,6
49,AI,FAVvsP,opposed,0
49,AI,MDvsMIP/MJP,opposed,6
49,AI,FAVvsMJP,opposed,6
49,AI,MDvsMIP/MJP,together,6
49,AI,FAVvsMJP,together,6
50,AI,MDvsMIP/MJP,opposed,7
50,AI,FAVvsMJP,together,2
50,AI,FAVvsP,together,3
50,AI,MDvsMIP/MJP,opposed,7
50,AI,MDvsMIP/MJP,together,8
50,AI,FAVvsP,together,9
50,AI,FAVvsMJP,together,4
50,AI,FAVvsMJP,opposed,2
50,AI,FAVvsP,opposed,6
50,AI,MDvsMIP/MJP,together,7
50,AI,FAVvsMJP,opposed,6
50,AI,FAVvsP,opposed,5
51,AI,FAVvsMJP,together,1
51,AI,FAVvsP,together,2
51,AI,MDvsMIP/MJP,opposed,3
51,AI,FAVvsMJP,opposed,9
51,AI,FAVvsP,opposed,7
51,AI,FAVvsP,together,5
51,AI,MDvsMIP/MJP,opposed,7
51,AI,FAVvsMJP,opposed,9
51,AI,FAVvsP,opposed,9
51,AI,MDvsMIP/MJP,together,4
51,AI,MDvsMIP/MJP,together,4
51,AI,FAVvsMJP,together,5
52,AI,FAVvsMJP,opposed,9
52,AI,FAVvsP,opposed,6
52,AI,FAVvsMJP,opposed,5
52,AI,FAVvsP,together,10
52,AI,FAVvsMJP,together,5
52,AI,MDvsMIP/MJP,together,12
52,AI,MDvsMIP/MJP,opposed,7
52,AI,FAVvsMJP,together,12
52,AI,FAVvsP,together,6
52,AI,MDvsMIP/MJP,together,6
52,AI,FAVvsP,opposed,0
52,AI,MDvsMIP/MJP,opposed,12
53,AI,FAVvsMJP,together,3
53,AI,FAVvsMJP,together,6
53,AI,FAVvsP,together,1
53,AI,MDvsMIP/MJP,opposed,5
53,AI,MDvsMIP/MJP,opposed,5
53,AI,FAVvsMJP,opposed,10
53,AI,MDvsMIP/MJP,together,8
53,AI,FAVvsP,together,7
53,AI,FAVvsP,opposed,11
53,AI,FAVvsMJP,opposed,9
53,AI,FAVvsP,opposed,6
53,AI,MDvsMIP/MJP,together,9
54,AI,FAVvsMJP,opposed,8
54,AI,FAVvsMJP,together,0
54,AI,FAVvsP,together,12
54,AI,MDvsMIP/MJP,opposed,4
54,AI,FAVvsMJP,together,6
54,AI,FAVvsP,together,0
54,AI,MDvsMIP/MJP,together,0
54,AI,FAVvsMJP,opposed,6
54,AI,MDvsMIP/MJP,opposed,6
54,AI,FAVvsP,opposed,0
54,AI,MDvsMIP/MJP,together,6
54,AI,FAVvsP,opposed,0
55,AI,MDvsMIP/MJP,together,9
55,AI,FAVvsP,together,8
55,AI,FAVvsMJP,opposed,9
55,AI,MDvsMIP/MJP,together,8
55,AI,FAVvsP,opposed,8
55,AI,MDvsMIP/MJP,opposed,3
55,AI,FAVvsP,opposed,4
55,AI,FAVvsMJP,opposed,7
55,AI,FAVvsMJP,together,8
55,AI,FAVvsMJP,together,3
55,AI,MDvsMIP/MJP,opposed,5
55,AI,FAVvsP,together,4
56,AI,FAVvsP,opposed,6
56,AI,FAVvsMJP,opposed,6
56,AI,MDvsMIP/MJP,opposed,0
56,AI,MDvsMIP/MJP,opposed,0
56,AI,FAVvsP,together,0
