pid,group,condition,pull
418,Human,FAVvsMJP,4
418,Human,MDvsMIP/MJP,5
418,Human,FAVvsP,5.5
419,Human,FAVvsMJP,-5
419,Human,MDvsMIP/MJP,-6.5
419,Human,FAVvsP,1
420,Human,FAVvsMJP,-2
420,Human,MDvsMIP/MJP,2
420,Human,FAVvsP,-3
421,Human,FAVvsMJP,6
421,Human,MDvsMIP/MJP,8
421,Human,FAVvsP,3
422,Human,FAVvsMJP,12
422,Human,MDvsMIP/MJP,0
422,Human,FAVvsP,12
423,Human,FAVvsMJP,1
423,Human,MDvsMIP/MJP,0
423,Human,FAVvsP,5.5
424,Human,FAVvsMJP,6
424,Human,MDvsMIP/MJP,0
424,Human,FAVvsP,12
425,Human,FAVvsMJP,6
425,Human,MDvsMIP/MJP,-3
425,Human,FAVvsP,8
426,Human,FAVvsMJP,1.5
426,Human,MDvsMIP/MJP,1.5
426,Human,FAVvsP,-0.5
427,Human,FAVvsMJP,7.5
427,Human,MDvsMIP/MJP,1
427,Human,FAVvsP,6
428,Human,FAVvsMJP,1
428,Human,MDvsMIP/MJP,1
428,Human,FAVvsP,-0.5
429,Human,FAVvsMJP,8
429,Human,MDvsMIP/MJP,8
429,Human,FAVvsP,8
430,Human,FAVvsMJP,-6
430,Human,MDvsMIP/MJP,2.5
430,Human,FAVvsP,4.5
431,Human,FAVvsMJP,0
431,Human,MDvsMIP/MJP,0.5
431,Human,FAVvsP,3.5
432,Human,FAVvsMJP,-12
432,Human,MDvsMIP/MJP,0.5
432,Human,FAVvsP,-12
433,Human,FAVvsMJP,1.5
433,Human,MDvsMIP/MJP,-2.5
433,Human,FAVvsP,-4.5
434,Human,FAVvsMJP,6
434,Human,MDvsMIP/MJP,6
434,Human,FAVvsP,5
435,Human,FAVvsMJP,1.5
435,Human,MDvsMIP/MJP,0
435,Human,FAVvsP,-1.5
436,Human,FAVvsMJP,-1.5
436,Human,MDvsMIP/MJP,1
436,Human,FAVvsP,-3
437,Human,FAVvsMJP,12
437,Human,MDvsMIP/MJP,0
437,Human,FAVvsP,6
438,Human,FAVvsMJP,-1.5
438,Human,MDvsMIP/MJP,-7
438,Human,FAVvsP,4
439,Human,FAVvsMJP,11
439,Human,MDvsMIP/MJP,0.5
439,Human,FAVvsP,9.5
440,Human,FAVvsMJP,0
440,Human,MDvsMIP/MJP,-0.5
440,Human,FAVvsP,-0.5
441,Human,FAVvsMJP,6
441,Human,MDvsMIP/MJP,-2.5
441,Human,FAVvsP,2
442,Human,FAVvsMJP,0.5
442,Human,MDvsMIP/MJP,-2.5
442,Human,FAVvsP,-0.5
443,Human,FAVvsMJP,8
443,Human,MDvsMIP/MJP,2.5
443,Human,FAVvsP,2
444,Human,FAVvsMJP,3.5
