pid,group,matrix_name,together,opposed,pull
143,Human,MDvsMIP/MJP,3,3,0
143,Human,FAVvsP,6,11,5
144,Human,FAVvsMJP,1,7,6
144,Human,MDvsMIP/MJP,1.5,0,-1.5
144,Human,FAVvsP,0,11.5,11.5
145,Human,FAVvsMJP,3,8,5
145,Human,MDvsMIP/MJP,4,8,4
145,Human,FAVvsP,0,2,2
146,Human,FAVvsMJP,5,7.5,2.5
146,Human,MDvsMIP/MJP,4.5,4,-0.5
146,Human,FAVvsP,0.5,0,-0.5
147,Human,FAVvsMJP,0,12,12
147,Human,MDvsMIP/MJP,0,0,0
147,Human,FAVvsP,0,12,12
148,Human,FAVvsMJP,0,7.5,7.5
148,Human,MDvsMIP/MJP,0,0,0
148,Human,FAVvsP,0,9.5,9.5
149,Human,FAVvsMJP,8,6,-2
149,Human,MDvsMIP/MJP,9.5,5.5,-4
149,Human,FAVvsP,7,6,-1
150,Human,FAVvsMJP,3,9,6
150,Human,MDvsMIP/MJP,0,6,6
150,Human,FAVvsP,0,6,6
151,Human,FAVvsMJP,0,12,12
151,Human,MDvsMIP/MJP,0,0,0
151,Human,FAVvsP,0,12,12
152,Human,FAVvsMJP,6.5,6,-0.5
152,Human,MDvsMIP/MJP,4.5,7,2.5
152,Human,FAVvsP,6.5,7.5,1
153,Human,FAVvsMJP,1.5,9,7.5
153,Human,MDvsMIP/MJP,0.5,3,2.5
153,Human,FAVvsP,0,8,8
154,Human,FAVvsMJP,2.5,6,3.5
154,Human,MDvsMIP/MJP,1.5,2.5,1
154,Human,FAVvsP,1,2,1
155,Human,FAVvsMJP,6,9,3
155,Human,MDvsMIP/MJP,3,4,1
155,Human,FAVvsP,0.5,5,4.5
156,Human,FAVvsMJP,4.5,6,1.5
156,Human,MDvsMIP/MJP,3.5,5,1.5
156,Human,FAVvsP,0,1.5,1.5
157,Human,FAVvsMJP,7.5,4.5,-3
157,Human,MDvsMIP/MJP,5.5,8,2.5
157,Human,FAVvsP,0.5,7,6.5
158,Human,FAVvsMJP,4,8,4
158,Human,MDvsMIP/MJP,2.5,4.5,2
158,Human,FAVvsP,0,4.5,4.5
159,Human,FAVvsMJP,8.5,0,-8.5
159,Human,MDvsMIP/MJP,3,8,5
159,Human,FAVvsP,6.5,10.5,4
160,Human,FAVvsMJP,0,12,12
